,ug,ugsp,irt,ski,job
788,BE,Mechanical Engineering,Technology;Data analytics;Data scientist;Oil and Gas,Programming Language skills;Product knowledge;Risk management skills;Machine Learning skills;Python;Excel,Quality Assurances Engineer
789,B.Tech,Mechanical Engineering,Research;Technology,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),CES-CAE- FEA Analyst
790,B.Tech,Mechanical Engineering,Technology,NO,Qualitative Analyst
791,B.Tech,Chemical Engineering,Industires,Problem Solving skills;Process Safety Management,Process Operations Engineer
792,B.Tech,Bcom-Accounting,"Financial Analysis,Financial Law",Teamwork ;accounting ;business strategy; Team Management ;Marketing; strategic planning; financial analysis ;management; consulting ;budgeting; financial modelling;financial accounting ;Business Development ;corporate finance; financial reporting ;financial planning ;forecasting ;financial forecasting; financial metrics;accounts receivable; back reconciliation; business planning; business management; business analysis; managerial finance; financial structuring,Tax Consultant
793,BBA,Sales & Marketing,"Sales/Marketing, Trading, Entrepreneurship","Active Listening, Critical Thinking, Gathering Informing, Business Knowledge, Leadership, Team work",TRI
794,Baster of journalism,Political science,News Coverage;Research;Content Writing;Govt. Job,Artistic/Creative Skills;People management;Communication skills;Mass Communication;Editing;Writing skills,Sub editor
796,B.E,Automobile Engineering,"News Coverage, Research, Sales/Marketing, Entrepreneurship","Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Product Knowledge, Cost Accounting, Wealth Management, Observation Skills, Risk Managing",Computer Software Engineer
797,BE,Automobile Engineering,Technology,Team work,Mechanical Engineer
798,BCA ,Computer Applications,"Technology, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Critical Thinking, Gathering Informing, Java, Editing, Creativity Skills, Team work, Interpersonal Skills, Building Rapport",Software tester
799,B.Sc,Agriculture,"Research, Teaching","Python, Excel, Presentation Skills, Writing, Subject Knowledge",Scientist
800,BE,Mechanical Engineering,Industires;Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),Mechanical Design Engineer
801,B.Arch,ArchitectureÃŠ,"Research, Sales/Marketing, Understand Human Behaviour, Architecture and construction ","Active Listening, AI, Critical Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Product Knowledge, Designing Skills, Architecture and Construction ",Junior Architect
802,B.Sc,Mathematics ,Financial Analysis;Research;Technology;Supply Chain Analysis,Critical Thinking;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence,Assistant Professor 
803,B.Sc,Mathematics,"Financial Analysis, Technology","AI, ML, Python, Analytic Thinking, Tableau",Teacher
804,B.Sc,Mathematics,Teaching;Data analytics,Programming Language skills;Analytical Skills;Artificial Intelligence;SQL,Traning and Development
805,B.Tech,Mechanical Engineering,Technology,"SQL, Oracle, Work under Pressure, Leadership, Editing, Cost Accounting, Creativity Skills, Market Study, Team work, Excel, Linux, Ccna",Data Engineer
806,BA,Political Science,"Financial Analysis, Sales/Marketing, Trading","Accounting Skills, Gathering Informing, Business Knowledge, People Management",Real e-state agent
807,B.Tech,Mechanical Engineering,Technology,"Analytic Thinking, Negotiation Skills, Team work",Business Analyst
809,B.Com,Information Technology,Technology,"Communication Skills, Negotiation Skills, Leadership, Excel, Microsoft Windows, networking basic, Computer hardware, L3 printer",IT SUPPORT
812,BBA,Human Resources,Research;Sales/Marketing;Teaching;Technology;Trading;Digital marketing;Market reserach;Compering,Active Listening;Hardware skills;Programming Language skills;Analytical Skills;People management;HR,Associative staff
813,B.Tech,Electronics and Communication Engineering,Web Designing;Digital marketing;Industires;Design;Blockchain,Programming Language skills;Critical Thinking;Leadership;Machine Learning skills;MATLAB,Software Engineer
814,B.Tech,Civil Engineering,Data Analyst,"Creativity Skills, Programming, Teamwork, Analytical Skills, Excel, Presentation Skills",Data Engineer
816,B.Tech,Electronics and Communication Engineering,Data Analytics,"C, python, javascript",Software engineer
821,B.Com,Commerce ,Financial Analysis;Data analytics,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Mass Communication;Editing;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau ),Tax consultant 
825,BE,Automobile Engineering,"Financial Analysis, Technology, Entrepreneurship","Communication Skills, Team work",Data Engineer
830,BE,Computer Science Engineering,Technology,Programming Language skills;Java,Senior Associate 
832,B.Tech,Biotechnology,"Research,Understand human body,BioTechnology"," immunochemistry
Immunocytochemistry;
ImageJ and Zen2012 softwares;
SDS-PAGE;
Thin-Layer Chromatography (TLC);
Agarose Gel Electrophoresis;
Paper Chromatography","
Research Associate"
835,B.Tech,Mechanical Engineering,Research;Technology;Trading;Data analytics;Game industry,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,Program engineering (IT)
837,BE,Electrical Engineering,All fields related to Data science.,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;SQL,Apprentice DP world Navi Mumbai
839,B.Tech,Information TechNAlogy,Writing,"Work under Pressure, Team work, Interpersonal Skills, Presentation Skills, Writing",Technical writer 
842,BA,Economics,Financial Analysis;Research;Data analytics;Data scientist,Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Excel,Business Analyst
844,B.Tech,Computer Science Engineering,News Coverage;Teaching;Technology,Wealth Management;Java,Junior Developer
845,B.Tech,Electronics and Communication Engineering,"VLSI,Technology","Core Skills,Programming",VLSI Developer
848,B.Tech,Computer Science Engineering,Teaching;Technology;Service;Social causes;Information Technology,Accounting Skills;Critical Thinking;People management;Communication skills;Java,Software Engineer
849,B.Tech,Mechanical Engineering,Technology,"SQL, Communication Skills, Team work",Test Analyst
850,B.Tech,Civil Engineering,Hr,"Python, Java, SQL",ASP.NET Developer
851,B.Tech,Mechanical Engineering,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),Mechanical Design Engineer
853,B.Tech,Computer Science Engineering,"Machine Learning,All fields related to Data science",Data Structures;C++;Digital Marketing;Programming;Python (Programming Language);Database Management System (DBMS);MySQL,"
Specialist Programmer"
856,B.Tech,Electronics & Telecommunications ,"Cyber Security,Technology,Data analytics,Machine Learning,Cloud computing","
Information Security;Cybersecurity Incident Response;Cyber Threat Intelligence (CTI);ITIL;Server Administration;Network Security;Sumologic;Crowdstrike Falcon;Active Directory;McAfee Antivirus;CiscoASA;ShavlikArcSight;Microsoft Operating Systems;Cisco Firewall Security;Cybersecurity",Information Secuirty Analyst
858,BE,Mechanical Engineering,Research;Teaching,Analytical Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),Assistant Professor
863,B.Tech,Electronics and Communication Engineering,Technology,NO,associate Engineer
864,B.Tech,Electrical and Electronics Engineering,Software Job,NO,associate trainee
865,B.Tech,Electrical and Electronics Engineering,Software Job,NO,associate Engineer
869,BBA,Sales & Marketing,"Sales/Marketing, Social Justice","Leadership, Product Knowledge",Business Analyst
870,Diploma,NAn Coal,Industires,Risk management skills;SAP,Jr. Engineer
871,BE,Electronics and Communication Engineering,Data analytics,Analytical Skills;Problem Solving skills;Python;SQL,Lecturer
872,B.Tech,Electrical and Electronics Engineering,News Coverage;Research;Social Justice;Teaching;Technology,Active Listening;Hardware skills;Critical Thinking;Business Knowledge,Teacher
873,B.Tech,Electronics and Communication Engineering,"Industires,Teaching,Technology","
Electronics Hardware Design;
Product Development;
Microcontrollers;
PCB Design;
Robotics;
System Deployment;
Graphic Design;
Embedded Systems;
Assembly Language;
IOT;
Battery Management Systems;Electronic Circuit Design;Electronic Hardware;
Mechatronics","
Hardware Design Engineer"
875,B.Tech,mechanical engineering,"Research, Entrepreneurship","Active Listening, Business Knowledge, Work under Pressure, Team work, Interpersonal Skills, Writing",Mechanical Engineer
876,B.Tech,Electrical and Electronics Engineering,Technology,"Java, Programming",Front End Developer
877,B.Tech,Data Warehousing & Data Mining,"Financial Analysis, Research, Sales/Marketing, Technology, Entrepreneurship","Python, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, SQL, Programming, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Excel, Interpersonal Skills, Presentation Skills, Wealth Management, Linux, Mass Communication, Tableau, Observation Skills, Risk Managing, Reading, Subject Knowledge",Data Engineer
878,B.Tech,Computer Science Engineering,Technology,NO,Web developer
879,BDCS,Information TechNAlogy,Financial Analysis,"Analytic Thinking, SQL, Oracle, Programming, Team work, Linux, Building Rapport, Subject Knowledge",Computer Software Engineer
882,B.Tech,Electronics and Communication Engineering,"Understand Human Behaviour, Understand Human Body","People Management, Communication Skills, Negotiation Skills, Leadership, Creativity Skills, Team work, Interpersonal Skills, Presentation Skills",Business Analyst
883,B.Com,Commerce,Financial Analysis;Research;Social causes,Accounting Skills;Wealth Management,Finance consultant
884,BBA,business administration,Human Resource,HR,Technical Recruiter
888,BCA,"Mathematics , Computer",Game industry,Communication skills,Medical Posting
891,B.Com,Statistics,"Technology, Analysis","ML, Python, SQL, Programming, Excel, Problem Solving skills, Tableau",Sales
892,B.Tech,Electrical and Electronics Engineering,"Industires,Technology",KiCAD;Keil;dc to dc converters;dc to ac converters;dc drives;facts devices;Matlab;Power Systems,Engineer-Power Electronics
893,BE,Electrical and Electronics Engineering,Data Analytics,NO,System engineer
894,BE,Mechanical Engineering,Financial Analysis;Research;Technology;Understand human behaviour;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;Information Technology;Navy Defence related;Sports Industry,Analytical Skills;People management;Leadership;Product knowledge;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,Intern at innodatatics
895,B.Com,Business Administration,Sales/Marketing,Business Knowledge,Business Analyst
896,BA,general,Social Justice;Home interior design;Information Technology,Finance related skills;Civil & Criminal Law;Negotiation skills;Good communication skills,supervisor
897,B.Sc,Biotechnology,"Teaching, Technology","Gathering Informing, Interpersonal Skills, Building Rapport, Subject Knowledge",Teacher
898,B.Sc,Agriculture,Sales/Marketing;Supply Chain Analysis,Active Listening;Gathering Information;Communication skills;Mass Communication,Sales Executive
909,BBA,BBA ,Sales/Marketing;Social Justice;Home interior design;Market reserach;Social media marketing,Active Listening;Hardware skills;Business Knowledge;Communication skills;Negotiation skills;Mass Communication;Problem Solving skills;Sales;Social Media Marketing;Hospitality;Good communication skills,Felix healtcare pvt ltd
911,BBA,Statistics,Financial Analysis,Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Wealth Management;Python;SQL,Operation Manager
912,BE,Plastic Design,Design,Designing skills,Design engineer
915,B.Tech,Electrical and Electronics Engineering,Teaching,"Active Listening, Work under Pressure,Teamwork,Interpersonal Skills, Presentation skills, Reading",Teaching
916,B.Tech,Mechanical Engineering,Design,"Proeficiency in Software like STAAD PRO, ETABS",Mechanical Design Engineer
917,B.Sc,Chemistry,Teaching,"Critical Thinking, Analytic Thinking, Team work, Problem Solving skills, Reading",Teacher
918,B.Tech,Computer Science Engineering ,Technology;Game industry;Market reserach;Information Technology,Programming Language skills;Linux;SQL;Java,Trainee consultant - Quality 
921,BE,Mechanical Engineering,Trading,C++,
923,BALLB,Law,Litigation & Legal service,Critical Thinking;Gathering Information;Civil & Criminal Law,Lawyer -IPR
926,BE,EcoNAmy ,Financial Analysis;Research;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Web Designing,Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law,
927,B.Tech,Mechanical Engineering,Technology,"Team work, Observation Skills",Mechanical Engineer
928,B.Sc,Computers,Sales/Marketing;Supply Chain Analysis;Data analytics,Analytical Skills;Machine Learning skills;Sales;Python;HR,Medical and sales reprasentative
930,B.Com,"Accounts,public finance,ecoNAmics,business studies",Digital marketing,Social Media Marketing,Teaching job
931,B.Tech,Civil Engineering,Construction;Construction Manegement,construction management,Civil & Structural Engineer
932,B.Tech,Civil Engineering,Construction;Construction Manegement;Urban Planning;Project Management,"Proeficiency in Software like STAAD PRO, ETABS",Civil & Structural Engineer
933,BCA,Science ,Technology;Data scientist;Information Technology,"Communication skills;Leadership;Problem Solving skills;Hospitality;HR;Client management;Good communication skills;Foreign languages french, Spanish ",Associate it consultant - erp
934,B.Tech,Computer Science Engineering,Data Analytics,NO,Intern
937,BA,EcoNAmics,Research;Sales/Marketing;Digital marketing,Programming Language skills;Business Knowledge;Designing skills;Writing skills;Sales;Social Media Marketing;Presentation Skills,
938,Hsc,Communication & Political Science,"Sales/Marketing, Entrepreneurship, Understand Human Body","Leadership, Mass Communication, Reading, Sales",Tele-caller
939,B.Tech,Electronics and Communication Engineering,Data Analytics,NO,Assistant system engineer trainee
941,BE,Automobile Engineering,Research;Social Justice;Teaching;Technology,Leadership;Product knowledge;Problem Solving skills,GAT- Engine testing engineer
944,B.Tech,Civil Engineering,Construction;Construction Manegement;Urban Planning,"Proeficiency in Software like STAAD PRO, ETABS",Civil & Structural Engineer
945,B.Tech,Civil Engineering,Infrastructure;Social causes;Industires;Design;Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",Civil & Structural Engineer
948,B.Tech,Electrical and Electronics Engineering,Technology;Supply Chain Analysis,Communication skills;Presentation Skills;Artificial Intelligence,sub Engineer
949,B.Tech,Electrical and Electronics Engineering,Teaching;Technology;Trading,People management;Architecture,Site Engineer
951,B.Tech,Electronics and Communication Engineering,Entrepreneurship,"Java, SQL",Java Developer
956,BA,General,News Coverage;Data analytics;Govt. Job;Infrastructure,Business Knowledge;People management;Product knowledge,Telemarketer
960,B.Tech,Electrical and Electronics Engineering,"Web development,Information Technology,Blockchain,Digital marketing,Game industry",DevOps;Kubernetes;Docker;Jenkins;Linux;Bash Script;Grafana;Elastic Stack (ELK);Amazon Web Services (AWS);Git;Linux System Administration;Ansible;Elasticsearch;OpenStack;Apache Kafka;Redis;docker;Bash;prometheus;Nginx,DevOps Engineer 
961,B.Tech,Electrical and Electronics Engineering,Data Analytics,"C,C++,Java,JavaScript,Python",Software developer
962,B.Sc,Physics,Technology,"Active Listening, Analytic Thinking, Gathering Informing, Artistic skills, Business Knowledge, SQL, Communication Skills, News Gathering, Editing, Creativity Skills, Team work, Excel, Presentation Skills, C++, Writing, Reading, Designing Skills",Data entry operator 
964,BBA,Business Administration,Understand human behaviour;Retailer;Service;Social causes,Recruiting,HR executive
965,B.Sc,Science,Understand human body;Content Writing;Digital marketing;Product Life cycle Management,Critical Thinking;Gathering Information;Leadership;Editing;Product knowledge;Problem Solving skills;Writing skills;Machine Learning skills;Interpersonal skills;Medical knowledge,Senior Editor
966,B.Tech,Electronics ,Financial Analysis;Research;Sales/Marketing;Technology;Supply Chain Analysis;Data analytics;Digital marketing;Market reserach;Social media marketing;Machine Learning;Sports Industry;Blockchain;Salesforce Admin;Construction;Construction Manegement,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Sales;Social Media Marketing;Interpersonal skills;Wealth Management;Presentation Skills;R;Python;SQL;Content creation;Good communication skills,BUSINESS DEVELOPMENT MANAGER
971,Degree,Bio technology,Sales/Marketing,Sales,Business 
973,B.Tech,Computer Science Engineering,Technology,"AI, ML, Python",Data Scientist
974,B.Com,Accountancy,Financial Analysis,Accounting Skills,Tech support 
979,B.Tech,CEE,Data Analytics,Python,Software developer
980,B.Sc,Computers,Social Justice;Understand human behaviour;Gardening;Social causes;All fields related to Data science.;Information Technology,Active Listening;Gathering Information;Business Knowledge;Good communication skills,Researcher
982,BE,Computer Science Engineering,Data Analytics,NO,Software Developer
984,BA,Advertising,Research;Sales/Marketing;Understand human behaviour;Content Writing,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Editing;Problem Solving skills;Writing skills;Social Media Marketing;Presentation Skills;Content creation,Content writer and creative strategist
985,B.Tech,Computer Science Engineering,Software Job,"JS, PHP,CSS,HTML, Android",IT Engineer
986,BE,Elections and telecommunication engineering,Teaching;Understand human behaviour;Web Designing,Python;SQL;Java;Cloud Computing,Software testing
987,BCA,Computer Applications,Web development,Programming Language skills;SQL;Java;Cloud Computing,Programmer analyst
989,B.Tech,Computer Science Engineering,Software Job,"Full stack, SQL",QA Analyst
990,BCA,Software Development,Financial Analysis;Research;Social Justice;Teaching;Trading;Content Writing,Business Knowledge;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Java,Entry Level Software Engineer
992,B.Tech,Computer Science Engineering,Technology,"Python, Java, SQL",PAT
994,B.Com,Computer Applications,Teaching,Derivatives,Computer Software Engineer
995,BE,Mechanical Engineering,Supply Chain Analysis;SAP Consultant in MM,People management;SAP,SAP consultant
996,B.Tech,Computer Science Engineering,Data Analytics,NO,FSC
998,BA,Sociology,Sales/Marketing;Understand human behaviour;Social causes;Customer care,Active Listening;Communication skills;Product knowledge;Problem Solving skills;Hospitality,Customer care
1000,B.Tech,Computer Science Engineering,Software Job,NO,Developer
1001,B.Tech,Computer Science Engineering,Technology,"SQL, Communication Skills",Computer Software Engineer
1003,BBA,Financial Analyst,Financial Analysis,"
Project Finance;Financial Modeling;Business Strategy",Financial Analyst
1004,B.Tech,Psychology,"Research, Social Justice, Understand Human Behaviour, Understand Human Body","Accounting Skills, Active Listening, Artistic skills, People Management, Civil & Criminal Law, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Logical Skills, Interpersonal Skills, Problem Solving skills, Observation Skills, Risk Managing, Designing Skills",Psychologist
1008,B.Tech,Computer Science Engineering,"Financial Analysis, Technology","Gathering Informing, Business Knowledge, SQL, Leadership, Writing, Designing Skills",Business Analyst
1009,BA,Tamil,Teaching,People management,Lecturer
1011,B.Sc,Physics,Teaching,Teaching ,Teacher
1014,B.Tech,Computer Science Engineering,"Cyber Security,Technology,Data analytics,Machine Learning,Cloud computing","
Threat & Vulnerability Management;Endpoint Security;Vulnerability Assessment;ISO 27001;Information Security;proofpoint;Palo Alto Networks;Symantec Endpoint Protection;SophosS;Vulnerability Management;Security Information and Event Management (SIEM);Threat Analysis;Threat Assessment;Splunk;ISO 27001 Lead Auditor;Pki;Cyber Security Risk;Cybersecurity Incident Response;Vulnerability Scanning;Security",Cyber Security Analyst
1015,B.E,Automobile Engineering,"Social Justice, Take risk for Profits, Technology, Entrepreneurship, Understand Human Behaviour","Critical Thinking, Business Knowledge, Civil & Criminal Law, Communication Skills, Negotiation Skills, Work under Pressure, News Gathering, Product Knowledge, Market Study, Team work, Excel",FITNESS CONSULTANT EXPERT 
1018,Baster of journalism,Journalism ,Sales/Marketing;Social Justice;Understand human behaviour;Content Writing;Digital marketing;Social media marketing,Active Listening;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Mass Communication;Problem Solving skills;Writing skills;Social Media Marketing;Content creation;Client management,Copywriter 
1020,BE,Electronics and telecommunication,Technology,Programming Language skills;Communication skills;Problem Solving skills;Python;MATLAB,Assistant system engineer trainee
1021,G. N. M Nurshing,Hospitality,"Teaching, Technology","Logical Skills, Presentation Skills, Observation Skills, Subject Knowledge",Medical Practitioner
1023,B.Tech,Information TechNAlogy,Financial Analysis,"Active Listening, AI, Critical Thinking, Analytic Thinking, Artistic skills, Java, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Mass Communication, Writing, Tableau, Reading, Designing Skills",Software engineer 
1027,B.Tech,BiotechNAlogy,"Research,Understand human body,BioTechnology","Real-Time Polymerase Chain Reaction (qPCR);
Environmental Biotechnology;
Molecular Biology","
Biocurator"
1030,B.Tech,Mechanical Engineering,"Technology,Trading","Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading",SQL Developer
1031,B.Tech,Electrical and Electronics Engineering,Technology,,Data Analyst
1032,B.Tech,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Gathering Information;People management;Communication skills;Leadership;SQL;Java,Software engineer
1033,BE,Automobile Engineering,Teaching;Technology;Content Writing;Govt. Job;Industires;Sports Industry;Oil and Gas;Excel,Active Listening;Gathering Information;Communication skills;Product knowledge;Writing skills;Presentation Skills;Good communication skills,TESTING ENGINEER
1040,B.Tech,Computer Science Engineering,"Technology,Data analytics,Machine Learning,Cloud computing,Cyber Security",Web Application Security;Vulnerability Assessment;OWASP;Penetration Testing;Shell Scripting;Python (Programming Language);Ethical Hacking;Web Application Security Assessment;Application Security,Cyber Security Engineer
1041,B.Tech,Electrical and Electronics Engineering,Technology;Industires;Design,"Proeficiency in Software like STAAD PRO, ETABS",Maintenance Engineer-Electrical
1043,B.Sc,Chemistry,"Sales/Marketing, Take risk for Profits","Active Listening, Artistic skills, Communication Skills, Work under Pressure, Editing, Product Knowledge, Creativity Skills, Market Study, Team work, Excel, Sales",Medical Practitioner
1044,BE,Computer Science Engineering,Research;Technology;Data analytics,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Wealth Management;Presentation Skills;Linux;Python;Artificial Intelligence;SQL;Java;Cloud Computing,Associate Data Scientist
1045,BALLB,Law,Social Justice;Social causes,Civil & Criminal Law,Law Intern
1046,B.Tech,Computer Science Engineering,Technology;Data analytics;Data scientist;All fields related to Data science.,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Artificial Intelligence;SQL,Data Analyst 
1049,B.Tech,Information Technology,Entrepreneurship,"Active Listening, Python, Critical Thinking, Analytic Thinking, Java, SQL, Oracle, Programming, People Management, Leadership, Team work, Logical Skills, Interpersonal Skills, C++, Problem Solving skills, Writing, Building Rapport, Subject Knowledge",Java Developer
1051,B.Tech,Computer Science Engineering,"Research, Technology, Entrepreneurship","Java, Programming, Creativity Skills, Team work, Excel, Linux",Computer Software Engineer
1052,B.Tech,Computer Science Engineering,"Technology,Teaching","Active Listening, Programming, Work under Pressure, Teamwork,Excel, Interpersonal Skills, Presentation skills, Reading",Teaching
1054,B.Com,Mar,Sales/Marketing,Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Client management,Business Trainee
1055,B.Tech,Civil Engineering,Teaching,"Active Listening, Work under Pressure,Teamwork,Interpersonal Skills, Presentation skills, Reading",Teaching
1056,B.Tech,Electronics and Communication Engineering,"Technology,Teaching","Active Listening, Programming, Work under Pressure, Teamwork,Excel, Interpersonal Skills, Presentation skills, Reading",Python Developer
1057,B.Tech,Marketing ,Research;Sales/Marketing;Supply Chain Analysis,Critical Thinking;Artistic/Creative Skills;Analytical Skills;Communication skills;Problem Solving skills;SQL,Operations specialist 
1058,BBA,Human Resource,Human Resource ,Negotiation skills;HR,Talent Acquisition Executive
1059,B.Com,Accountancy,Financial Analysis,Active Listening;Artistic/Creative Skills;Communication skills;Mass Communication;Problem Solving skills,Management trainee 
1060,BBA,Human Resource,Content Writing;Market reserach,Business Knowledge;Finance related skills;People management;Communication skills;Negotiation skills;Problem Solving skills;Sales;Presentation Skills,Human Resources Assistant
1064,BE,Mechanical Engineering,Financial Analysis;News Coverage;Research;Technology;Understand human behaviour;Supply Chain Analysis;Market reserach;Industires,Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Good communication skills;SAP,Procurement engineer
1065,BE,Mechanical Engineering,Trading;Data scientist,Analytical Skills;Problem Solving skills,GET 
1066,BA,"History, sociology,",Research;Sales/Marketing;Trading;Digital marketing;Social media marketing;Customer care,Active Listening;Business Knowledge;Communication skills;Sales,"Telecaller,sale exicutive"
1068,B.Tech,Biotechnology,Technology,"Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Reporting, Reading",Computer Software Engineer
1069,BA,History,"News Coverage, Teaching","Active Listening, Communication Skills, Work under Pressure, News Gathering, Reporting, Reading, Subject Knowledge",Teacher
1070,B.E,Automobile Engineering,Technology,"Team work, Linux, Problem Solving skills",Computer Software Engineer
1072,B.Tech,Electrical and Electronics Engineering,"Sales/Marketing, Technology, Entrepreneurship","AI, Java",Operations Engineer
1077,B.Tech,Automobile ,Technology,"Python, Programming, Excel, Linux",Computer Software Engineer
1078,B.Com,Mechanical Engineering,Financial Analysis,Accounting Skills,Business Analyst
1080,BE,Information Technology,Financial Analysis;News Coverage;Supply chain analysis,Critical Thinking;Analytical Skills;Negotiation skills;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL,Purchase executive
1081,B.Com,Statistics,Financial Analysis,Teamwork;Time Management;Company Secretarial Work;,Company Secretary
1082,B.Tech,Information Technology,Data analytics;Digital marketing;Data scientist,Risk management skills;Data Visualization skills( Power Bi/ Tableau );SQL;SAP,QA Specialist
1084,B.Tech,computer science engineering,"Technology, Entrepreneurship","Analytic Thinking, Business Knowledge, Java, SQL, Communication Skills, Work under Pressure, Product Knowledge, Team work, Excel, Problem Solving skills, Observation Skills, Reporting, Reading, Subject Knowledge",Software Tester
1090,B.Tech,Electrical and Electronics Engineering,"Technology, Understand Human Behaviour, Understand Human Body","Communication Skills, Work under Pressure, Leadership",Hardware Engineer
1092,B.Tech,Computer Applications,Software Job,networking,APAC Engineer
1093,B.Tech,Civil Engineering,Software Job,NO,Associate Engineer
1096,B.Tech,Business,"Supply Chain Analysis;Gardening;Service;Industires;Agriculture, services",Business Knowledge;People management;Machine Learning skills;Hospitality,Personal Advisory
1097,BE,Computer Science Engineering,"Financial Analysis, Sales/Marketing, Technology, Trading","AI, Python, Programming, Communication Skills, C++",RPA developer
1098,B.Com,Electronics and Communication Engineering,Service,Accounting Skills;Active Listening;Hardware skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Writing skills;HR,Relationship manager at icici
1099,B.Tech,Civil engineering,"Web development,Social causes,All fields related to Data science,Machine Learning,Data scientist",Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP;Codeignitor;Loopback;,Web Developer
1100,B.Tech,Mechanical Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills",Teaching
1101,B.Tech,Mechanical Engineering,Technology,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Negotiation skills;Leadership;Content creation,Business operations
1102,B.E,Electronics and telecommunication ,Data Analytics,AutoCard,Sales excellent
1108,BE,Business Administration,"Research, Social Justice","Analytic Thinking, Communication Skills, Leadership, Team work, Designing Skills",Machine operator 
1111,B.Tech,Information TechNAlogy,Technology;Understand human behaviour;Govt. Job;Infrastructure;Design;Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS;construction management",Civil & Structural Engineer
1112,BE,Electronics and Communication Engineering,Technology,"Python, Tableau",Back End Developer
1113,B.Tech,Computer Science Engineering,Technology,Programming,Dot net Developer
1114,B.Tech,Accountancy,Data analytics,R;Python;SQL,Gis engineer
